hex_id,hex_area,canopykmsq,canopy_per,centroid_x,centroid_y
10691301,106088.115,37562.646,35.407,505689.9619,191375.7975
10691303,106088.115,43466.387,40.972,505689.9619,191725.7975
10691305,106088.115,40989.751,38.637,505689.9619,192075.7975
10701206,106088.115,110.679,0.104,505993.0708,174750.7975
10701208,106088.115,0,0.0,505993.0708,175100.7975
10701210,106088.115,0,0.0,505993.0708,175450.7975
10701212,106088.115,0,0.0,505993.0708,175800.7975
10701214,106088.115,0,0.0,505993.0708,176150.7975
10701216,106088.115,0,0.0,505993.0708,176500.7975
10701218,106088.115,1685.258,1.589,505993.0708,176850.7975
10701220,106088.115,1131.569,1.067,505993.0708,177200.7975
10701222,106088.115,794.138,0.749,505993.0708,177550.7975
10701224,106088.115,14279.422,13.46,505993.0708,177900.7975
10701226,106088.115,9632.162,9.079,505993.0708,178250.7975
10701228,106088.115,19471.395,18.354,505993.0708,178600.7975
10701230,106088.115,19879.415,18.739,505993.0708,178950.7975
10701232,106088.115,25577.653,24.11,505993.0708,179300.7975
10701234,106088.115,18107.42,17.068,505993.0708,179650.7975
10701236,106088.115,11497.863,10.838,505993.0708,180000.7975
10701238,106088.115,9319.294,8.784,505993.0708,180350.7975
10701240,106088.115,15168.276,14.298,505993.0708,180700.7975
10701242,106088.115,12650.465,11.924,505993.0708,181050.7975
10701244,106088.115,26910.735,25.366,505993.0708,181400.7975
10701246,106088.115,17448.89,16.448,505993.0708,181750.7975
10701248,106088.115,58297.269,54.952,505993.0708,182100.7975
10701250,106088.115,32862.762,30.977,505993.0708,182450.7975
10701252,106088.115,18183.085,17.14,505993.0708,182800.7975
10701254,106088.115,15341.686,14.461,505993.0708,183150.7975
10701256,106088.115,8439.22,7.955,505993.0708,183500.7975
10701258,106088.115,8065.329,7.602,505993.0708,183850.7975
10701260,106088.115,25850.263,24.367,505993.0708,184200.7975
10701262,106088.115,25223.277,23.776,505993.0708,184550.7975
10701264,106088.115,7170.281,6.759,505993.0708,184900.7975
10701266,106088.115,21510.713,20.276,505993.0708,185250.7975
10701268,106088.115,37046.867,34.921,505993.0708,185600.7975
10701270,106088.115,29275.567,27.596,505993.0708,185950.7975
10701272,106088.115,59607.507,56.187,505993.0708,186300.7975
10701274,106088.115,51000.818,48.074,505993.0708,186650.7975
10701276,106088.115,19120.951,18.024,505993.0708,187000.7975
10701278,106088.115,44814.294,42.243,505993.0708,187350.7975
10701280,106088.115,31791.095,29.967,505993.0708,187700.7975
10701282,106088.115,32655.749,30.782,505993.0708,188050.7975
10701284,106088.115,23494.354,22.146,505993.0708,188400.7975
10701286,106088.115,18061.481,17.025,505993.0708,188750.7975
10701288,106088.115,10795.053,10.176,505993.0708,189100.7975
10701290,106088.115,31438.933,29.635,505993.0708,189450.7975
10701292,106088.115,16558.815,15.609,505993.0708,189800.7975
10701294,106088.115,34330.81,32.361,505993.0708,190150.7975
10701296,106088.115,20391.338,19.221,505993.0708,190500.7975
10701298,106088.115,35615.539,33.572,505993.0708,190850.7975
10701300,106088.115,33355.058,31.441,505993.0708,191200.7975
10701302,106088.115,51967.484,48.985,505993.0708,191550.7975
10701304,106088.115,21253.635,20.034,505993.0708,191900.7975
10711205,106088.115,3.607,0.003,506296.1797,174575.7975
10711207,106088.115,0,0.0,506296.1797,174925.7975
10711209,106088.115,0,0.0,506296.1797,175275.7975
10711211,106088.115,0,0.0,506296.1797,175625.7975
10711213,106088.115,0,0.0,506296.1797,175975.7975
10711215,106088.115,0,0.0,506296.1797,176325.7975
10711217,106088.115,261.33,0.246,506296.1797,176675.7975
10711219,106088.115,796.049,0.75,506296.1797,177025.7975
10711221,106088.115,27.893,0.026,506296.1797,177375.7975
10711223,106088.115,3975.75,3.748,506296.1797,177725.7975
10711225,106088.115,15106.009,14.239,506296.1797,178075.7975
10711227,106088.115,26509.594,24.988,506296.1797,178425.7975
10711229,106088.115,15747.775,14.844,506296.1797,178775.7975
10711231,106088.115,31047.09,29.265,506296.1797,179125.7975
10711233,106088.115,28425.453,26.794,506296.1797,179475.7975
10711235,106088.115,15290.904,14.413,506296.1797,179825.7975
10711237,106088.115,16199.615,15.27,506296.1797,180175.7975
10711239,106088.115,19249.867,18.145,506296.1797,180525.7975
10711241,106088.115,11662.007,10.993,506296.1797,180875.7975
10711243,106088.115,15320.507,14.441,506296.1797,181225.7975
10711245,106088.115,14892.807,14.038,506296.1797,181575.7975
10711247,106088.115,18814.555,17.735,506296.1797,181925.7975
