placeID,Latitude ,Longitude ,Nights.active,Excluded?,Badger,Hedgehog,Cat,Deer,Dog,Fox,Horse,Mouse,Rabbit,Squirrel,Notes
111,51.4190005,-0.3389277,14,,0,0,0,0,0,21,0,0,0,0,
112,51.4189896,-0.33630417,0,Y,,,,,,,,,,,
113,51.41852,-0.3343,24,,0,0,No,Yes,No,Yes,No,No,No,No,
114,51.41852,-0.33207,45,,0,3,0,46,0,11,0,0,0,1,
115,51.41852,-0.32978,24,,0,0,0,7,0,2,0,0,0,0,
116,51.4191253,-0.3285973,31,,0,0,No,Yes,No,Yes,No,No,No,No,
117,51.41853,-0.32517,24,,0,2,0,19,4,17,0,0,0,0,
118,51.42091,-0.35471,24,,0,1,0,1,0,1,0,0,0,0,
119,51.42048,-0.35334,24,,0,0,0,2,0,1,0,0,0,0,
120,51.42056,-0.35147,2,,0,0,0,4,1,1,0,0,0,0,
121,51.41976,-0.34827,19,,0,2,0,30,1,30,0,0,270,0,
122,51.41995,-0.3458,24,,0,0,0,13,0,4,0,0,0,0,
123,51.41983731,-0.341065,24,,4,1,0,0,0,41,0,0,8,0,
124,51.42008235,-0.33892084,24,,0,0,0,0,0,0,0,0,0,0,
125,51.41995,-0.33436,24,,0,0,0,78,0,31,0,0,0,0,
126,51.41995,-0.33207,31,,0,0,0,63,1,113,0,0,0,1,
127,51.41995,-0.32978,24,,0,2,0,38,8,38,0,0,0,0,
128,51.42133,-0.35542,25,,0,0,0,2,0,2,0,0,0,0,
129,51.42115,-0.35244,6,,0,0,0,9,0,8,0,0,0,0,
130,51.42138,-0.35038,22,,0,1,0,2,0,0,0,0,0,0,
131,51.42138,-0.34809,24,,0,0,0,15,0,0,0,0,0,0,
132,51.42153,-0.34491,0,Y,,,,,,,,,,,
133,51.42094657,-0.34075487,24,,0,0,0,0,0,1,0,0,0,0,
134,51.42125242,-0.33899756,32,,0,0,0,0,0,25,0,0,0,0,
135,51.4239,-0.3574,24,,0,1,0,25,4,26,0,0,0,0,
136,51.42282,-0.35496,36,,0,11,78,0,0,139,0,0,0,0,
137,51.423282,-0.351601,24,,0,0,0,38,0,12,0,0,0,0,
138,51.42285,-0.35095,24,,0,5,0,14,0,17,0,0,0,0,
139,51.42293,-0.3481,21,,0,2,0,7,0,7,0,0,0,0,
140,51.4233,-0.34561,24,,0,1,0,17,0,24,0,0,0,0,
141,51.42425,-0.35724,24,,0,0,0,18,0,9,0,0,0,0,
142,51.42425,-0.35496,24,,0,1,0,11,0,1,0,0,0,0,
143,51.42425,-0.35267,22,,0,0,0,28,2,24,0,0,0,0,
144,51.42431,-0.3504,0,Y,,,,,,,,,,,
145,51.42425,-0.34809,0,Y,,,,,,,,,,,
146,51.42425,-0.3458,24,,0,0,0,5,0,14,0,0,0,0,
147,51.42587,-0.35438,0,Y,,,,,,,,,,,
148,51.42568,-0.35267,24,,0,0,0,24,0,17,0,0,0,0,
149,51.42534,-0.351,24,,0,4,0,2,1,35,0,0,0,0,
150,51.42593,-0.34813,21,,0,0,0,2,0,5,0,0,0,0,
